Content_ID,Observation_time,User,User_Location,social_media,publish_date,Geo_location,comment_raw_text,emoji,reference post url,like_count,reply_count,Repost_Count,QUOTE_Count,BOOKMARK_COUNT,CONTENT TYPE,reference
7508366141320924438,2025-05-25T16:37:21Z,f1,,TikTok,2025-05-25T12:55:25.000Z,"(43.7384, 7.4246)",caught us in 4k 🫵 @Oscar Piastri #f1 #formula1 #monacogp #f1drivers #oscarpiastri #mclaren ,🫵,,274,798,78100,0,62,post,
7508353970931289366,2025-05-25T16:37:21Z,f1,,TikTok,2025-05-25T12:08:12.000Z,"(43.7384, 7.4246)",this is monaco baby 🤩 #f1 #formula1 #monacogp #montecarlo #f1drivers #motorsport #sports ,🤩,,78,260,54200,0,49,post,
7508075959015296278,2025-05-25T16:37:21Z,f1,,TikTok,2025-05-24T18:09:21.000Z,"(43.7384, 7.4246)",all the emotions on the line during qualifying 🥹 #f1 #formula1 #monacogp #landonorris #charlesleclerc ,🥹,,12000,17300,3500000,0,1437,post,
7508043712040029462,2025-05-25T16:37:21Z,f1,,TikTok,2025-05-24T16:04:13.000Z,"(43.7384, 7.4246)",charles and lando battled for pole right until the end 😱 #f1 #formula1 #monacogp #landonorris #charlesleclerc #mclaren #ferrari ,😱,,1752,3679,780300,0,567,post,
7508035520795053334,2025-05-25T16:37:21Z,f1,,TikTok,2025-05-24T15:32:27.000Z,"(43.7384, 7.4246)","norris breaks the lap record, charles narrowly misses out in p2 and both racing bulls qualify in the top 10! 🤩 #f1 #formula1 #monacogp #landonorris #charlesleclerc #oscarpiastri #mclaren #ferrari ",🤩,,3339,3765,1200000,0,1228,post,
7508028593935518998,2025-05-25T16:37:21Z,f1,,TikTok,2025-05-24T15:05:34.000Z,"(43.7384, 7.4246)",a different kind of push lap 😭 #f1 #formula1 #monacogp #georgerussell #mercedes #motorsport ,😭,,13600,8994,993500,0,714,post,
7508008911941700886,2025-05-25T01:13:22Z,skysport,,TikTok,2025-05-24T13:49:12.000Z,,😅 𝐄𝐫𝐫𝐨𝐫𝐞 𝐝𝐚 𝐧𝐨𝐧 𝐟𝐚𝐫𝐞 𝐌𝐀𝐈 𝐜𝐨𝐧 𝐮𝐧 𝐩𝐢𝐥𝐨𝐭𝐚: 𝐝𝐢𝐫𝐠𝐥𝐢 𝐝𝐢 𝐚𝐧𝐝𝐚𝐫𝐞 𝐩𝐢𝐚𝐧𝐨  #SkyMotori #F1 #Formula1 #MonacoGP #Antonelli #Chinchero ,😅,,672800,278,67100,0,6203,post,
7508053381911448854,2025-05-25T01:13:22Z,parismatch,,TikTok,2025-05-24T16:41:45.000Z,"(43.7384, 7.4246)",#kingsleycoman  #tiktoksports  #monacogp #monaco #f1 #formula1 ,,,18400,3,254,0,15,post,
7507979385576639766,2025-05-25T01:13:22Z,rtl.sport,,TikTok,2025-05-24T11:54:35.000Z,,Es gibt Agatha also wirklich 😍 Das Qualifying in Monaco ab 15:30 Uhr LIVE bei RTL im Free-TV 📺 #rtlf1 #f1 #formel1 #monacogp #agatha #monte,😍,,560400,577,51700,0,2954,comment,
7508089870083067138,2025-05-25T01:13:22Z,parismatch,,TikTok,2025-05-24T19:03:20.000Z,"(43.7384, 7.4246)",#kikagomes #pierregasly #f1 #monacogp #givenchybeauty #f1tiktok #sportstiktok ,,,38700,10,3061,0,143,post,
